Hướng;Đường trước nhà(m);Loại BDS;Pháp lý;Số lầu;Số phòng ngủ;Giá(Tỷ);Diện tích(m2);Địa chỉ;Tỉnh/ Thành phố;Quận/ Huyện;Mật độ dân số (người/km²);GDPD(%)
_;10.0;0;1;2;4;57.0;352.0; Đường Thảo Điền, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;8.0;0;0;3;4;45.0;208.0; Đường Xuân Thủy, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;10.0;0;1;4;5;122.0;275.0; Phố Ngũ Xã, Phường Trúc Bạch, Quận Ba Đình, Hà Nội;3;Ba Đình;24.119;6.27
_;12.0;0;1;4;4;5.0;68.0; Xã Cự Khê, Huyện Thanh Oai, Hà Nội;3;Thanh Oai;1.703;6.27
_;24.0;0;1;4;6;25.6;225.0; Phố Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;13.0;0;1;4;4;11.2;80.0; Phố Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;24.0;0;1;4;4;25.68;225.0; Phố Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;24.0;0;1;4;6;25.6;225.0; Phố Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;0;4;4;40.0;140.0; Đường Thảo Điền, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;6.0;0;0;4;5;45.5;235.0; Đường Hồ Biểu Chánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh;7;Phú Nhuận;33.461;5.81
_;10.0;0;0;1;1;32.0;173.0; Đường Quốc Hương, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;12.0;0;0;5;8;36.0;600.0; Đường Phạm Viết Chánh, Phường 19, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;12.0;0;0;4;6;38.0;210.0; Đường Nguyễn Hoàng, Phường An Phú, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;6.0;0;0;5;3;10.9;55.0; Đường Trúc Đường, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;6.0;0;0;4;5;30.5;104.0; Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;9.0;0;1;4;6;75.0;400.0; Đường Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;5.0;0;1;5;5;10.0;52.0; Đường Nguyễn Trãi, Phường Khương Đình, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;6.0;0;1;5;5;13.0;80.0; Đường Yên Hòa, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;9.0;0;1;5;6;65.0;159.0; Phố Vũ Ngọc Phan, Phường Láng Hạ, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;6.0;0;1;4;3;6.8;33.0; Đường Trịnh Đình Cửu, Phường Định Công, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;6.0;0;1;5;5;12.5;55.0; Phố Lê Trọng Tấn, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;6.0;0;1;3;4;34.0;340.0; Đường Nguyễn Khoái, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;6.0;0;1;6;6;17.0;61.0; Phố Thái Hà, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;5.0;0;1;5;4;7.7;45.0; Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;5.0;0;1;6;5;10.8;59.0; Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;6.0;0;1;7;6;11.2;55.0; Phố Phùng Chí Kiên, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;6.0;0;1;4;5;14.3;75.0; Ngõ Thịnh Hào 1, Phường Cát Linh, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;6.0;0;0;5;5;15.0;75.0; Phố Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;6.0;0;1;5;4;7.85;44.0; Đường Thanh Xuân Bắc, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;6.0;0;0;4;4;18.0;90.0; Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;6.0;0;1;4;4;15.0;96.0; Phố Nguyễn Văn Tuyết, Phường Trung Liệt, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;6.0;0;1;5;5;13.5;72.0; Đường Yên Lãng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;3.0;0;1;3;4;9.5;50.0; Phố Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;4.0;0;1;3;4;9.5;49.0; Phố Võ Thị Sáu, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;4.0;0;1;3;4;9.5;50.0; Đường Trần Khát Chân, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;5.0;0;1;4;4;10.2;36.0; Phố Huỳnh Thúc Kháng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;5.0;0;1;7;16;19.8;87.0; Phố Vương Thừa Vũ, Phường Khương Mai, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;8.0;0;1;4;6;24.0;280.0; Đường Âu Cơ, Phường 14, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
Tây Bắc;12.0;0;1;4;6;7.8;75.0; Đường Lai Xá, Xã Kim Chung, Huyện Hoài Đức, Hà Nội;3;Hoài Đức;3.094;6.27
Đông Bắc;17.0;0;1;4;6;12.2;78.0; Đường Tỉnh lộ 70, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
Tây Nam;8.0;0;1;4;4;7.8;94.0; Đường Quốc lộ 32, Thị trấn Trạm Trôi, Huyện Hoài Đức, Hà Nội;3;Hoài Đức;3.094;6.27
_;15.0;0;1;4;7;29.0;600.0; Đường Hoàng Văn Bổn, Phường Tân Biên, Thành phố Biên Hoà, Đồng Nai;9;Biên Hòa;4.004;5.3
_;10.0;0;1;3;4;16.0;250.0; Đường Số 17, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;20.0;0;1;4;6;31.0;400.0; Đường Số 25, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;6.0;0;1;3;6;35.0;1.0; Đường Hiệp Bình, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;6.0;0;1;4;4;9.0;105.0; Đường Hiệp Bình, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;10.0;0;1;3;4;21.7;130.0; Đường Lâm Du, Phường Bồ Đề, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;2.0;0;1;3;4;8.9;100.0; Đường Thụy Khuê, Phường Yên Phụ, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;3.0;0;1;4;5;9.35;100.0; Phố Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;6.0;0;1;3;3;1.92;50.0; Đường DT351, Xã Nam Sơn, Huyện An Dương, Hải Phòng;4;An Dương;1.878;10.34
_;6.0;0;0;5;5;115.0;230.0; Đường Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;8.0;0;0;4;4;22.0;106.0; Phố Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;8.0;0;0;4;5;34.8;150.0; Phố Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;6.0;0;0;5;5;21.0;70.0; Phố Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;6.0;0;0;9;8;18.7;62.0; Đường Trần Hữu Dực, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;7.0;0;0;4;5;42.0;189.0; Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội;3;Bắc Từ Liêm;7.529;6.27
_;8.0;0;0;4;6;2.6;75.0; Đường Nguyễn Chánh, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;8.0;0;0;4;5;76.0;268.0; Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;8.0;0;0;4;4;20.5;82.0; Đường Nguyễn Văn Huyên, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;6.0;0;0;4;5;26.0;75.0; Đường Nguyễn Chánh, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;12.0;0;1;3;6;18.0;686.0; Đường Thạnh Lộc 19, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh;7;Quận 12;11.745;5.81
_;7.0;0;1;3;4;9.2;82.0; Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh;7;Nhà Bè;2.06;5.81
_;30.0;0;1;2;4;18.5;1.151; Đường Huỳnh Thị Na, Xã Đông Thạnh, Huyện Hóc Môn, Hồ Chí Minh;7;Hóc Môn;4.966;5.81
_;6.0;0;0;3;4;8.25;80.0; Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh;7;Nhà Bè;2.06;5.81
_;10.0;0;1;3;4;28.0;180.0; Đường Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;10.0;0;1;5;4;16.5;109.0; Đường Yên Xá, Xã Tân Triều, Huyện Thanh Trì, Hà Nội;3;Thanh Trì;4.342;6.27
Đông Bắc;12.0;0;1;2;3;4.5;81.0; Đường Nguyễn Văn Linh, Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
Tây Nam;12.0;0;1;3;5;3.3;80.0; Đường số 4, Phường Thường Thạnh, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Tây Bắc;15.0;0;1;3;4;6.5;83.0; Đường Hoàng Thế Thiện, Phường Hưng Phú, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Tây Nam;12.0;0;1;3;3;5.7;88.0; Đường số 4, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Đông Bắc;27.0;0;1;2;2;3.6;103.0; Đường số 6, Phường Lê Bình, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Tây Bắc;20.0;0;1;2;2;4.85;90.0; Đường Võ Nguyên Giáp, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Đông Bắc;17.0;0;1;3;4;12.5;210.0; Đường số 2, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Đông Nam;12.0;0;1;3;3;6.3;69.0; Đường Quang Trung, Phường Hưng Phú, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Đông Nam;27.0;0;1;2;4;19.0;330.0; Đường số 5, Phường Thường Thạnh, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Đông Nam;16.0;0;1;2;2;5.3;90.0; Đường Võ Nguyên Giáp, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Tây Bắc;19.0;0;1;3;4;6.0;64.0; Đường số 3, Phường An Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
_;8.0;0;0;6;4;12.5;60.0; Đường Bằng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;10.0;0;1;5;4;10.5;60.0; Đường Bằng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;10.0;0;1;3;6;63.8;144.0; Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, Hồ Chí Minh;7;Phú Nhuận;33.461;5.81
_;16.0;0;1;4;5;250.0;805.0; 189 Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;26.0;0;1;2;8;260.0;1.018; Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;16.0;0;0;2;6;65.0;220.0; Đường Tú Xương, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh;7;Quận 3;38.852;5.81
_;18.0;0;1;4;8;43.0;200.0; Đường Nguyễn Thị Nhỏ, Phường 9, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;16.0;0;1;5;8;90.0;700.0; Đường Số 8, Phường Tân Hưng, Quận 7, Hồ Chí Minh;7;Quận 7;10.088;5.81
_;20.0;0;1;7;8;240.0;1.13; Đường Nguyễn Thông, Phường 7, Quận 3, Hồ Chí Minh;7;Quận 3;38.852;5.81
_;12.0;0;1;3;10;270.0;2.3; Đường số 44, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;12.0;0;1;3;8;155.0;1.068; Đường 55,  Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;12.0;0;1;3;8;146.0;409.0; Đường Tú Xương, Phường 7, Quận 3, Hồ Chí Minh;7;Quận 3;38.852;5.81
_;2.0;0;0;3;4;3.2;60.0; Phường Ngọc Thụy, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;15.0;0;1;3;5;52.0;365.0; Đường Bành Văn Trân, Phường 6, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;25.0;0;1;4;6;58.0;200.0; Đường Ba Vì, Phường 15, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;12.0;0;1;4;6;63.0;280.0; Đường Hoàng Dư Khương, Phường 12, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;6.0;0;0;3;5;19.5;125.0; Đường Tân Sơn, Phường 15, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;8.0;0;0;5;4;8.8;56.0; Đường Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;6.0;0;0;5;5;7.4;95.0; Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;10.0;0;1;4;5;23.5;120.0; Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;8.0;0;0;4;4;9.8;60.0; Đường Hoàng Hoa Thám, Phường 12, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;6.0;0;0;5;4;7.89;50.0; Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
Đông Nam;14.0;0;1;4;5;17.0;240.0; Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;30.0;0;1;3;4;48.0;1.8; Đường Dương Công Khi, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh;7;Hóc Môn;4.966;5.81
_;10.0;0;1;4;5;33.0;160.0; Đường Nguyễn Chí Thanh, Phường 9, Quận 5, Hồ Chí Minh;7;Quận 5;36.994;5.81
_;6.0;0;1;4;4;16.8;75.0; Phố Hoàng Văn Thái, Phường Khương Trung, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;8.0;0;1;5;5;45.0;170.0; Đường Nguyễn Thông, Phường 9, Quận 3, Hồ Chí Minh;7;Quận 3;38.852;5.81
_;20.0;0;1;2;3;75.0;325.0; Đường Trường Sơn, Phường 15, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;20.0;0;1;3;5;23.0;193.0; Đường Trần Quang Cơ, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh;7;Tân Phú;30.146;5.81
_;12.0;0;1;4;6;24.0;83.0; Đường Trần Thiện Chánh, Phường 12, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;10.0;0;1;3;4;116.0;286.0; Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;10.0;0;1;6;16;108.0;300.0; Phố Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;12.0;0;1;3;5;34.0;106.0; Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;8.0;0;1;4;5;28.5;140.0; Đường Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;30.0;0;1;3;4;47.9;1.8; Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh;7;Hóc Môn;4.966;5.81
_;12.0;0;1;3;6;14.9;736.0; Đường Thạnh Lộc 19, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh;7;Quận 12;11.745;5.81
_;20.0;0;1;3;4;49.0;140.0; Phố Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;15.0;0;1;4;7;29.2;600.0; Đường Hoàng Văn Bổn, Phường Tân Biên, Thành phố Biên Hoà, Đồng Nai;9;Biên Hòa;4.004;5.3
_;8.0;0;1;8;4;35.0;106.0; Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;20.0;0;1;4;4;41.9;189.0; Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội;3;Bắc Từ Liêm;7.529;6.27
_;10.0;0;0;3;5;22.5;153.0; Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh;7;Quận 11;41.15;5.81
_;6.0;0;0;3;4;18.9;105.0; Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;25.0;0;1;4;4;38.0;310.0; Đường Nguyễn Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;20.0;0;1;5;9;48.0;196.0; Phố Nguyễn Huy Tưởng, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;12.0;0;1;5;6;20.0;130.0; Đường Nguyễn Xiển, Phường Kim Giang, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;10.0;0;1;4;4;15.5;82.0; Đường Nguyễn Văn Lộc, Phường Mộ Lao, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;8.0;0;1;4;6;37.0;200.0; Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;16.0;0;1;5;6;48.6;125.0; Đường Nguyễn Xiển, Phường Kim Giang, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;20.0;0;1;6;6;47.0;150.0; Đường Trung Hòa, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;18.0;0;1;4;6;25.0;80.0; Đường Trung Hòa, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;20.0;0;1;4;4;33.5;230.0; Phố Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;30.0;0;1;5;6;19.0;95.0; Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;18.0;0;1;5;4;45.0;170.0; Phố Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;8.0;0;0;3;4;31.0;203.0; Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;10.0;0;1;7;10;13.0;60.0; Đường Ngô Thì Nhậm, Phường La Khê, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;6.0;0;0;2;4;58.0;1.146; Đường Hiệp Bình, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;6.0;0;1;5;4;6.3;98.0; Gần Quốc lộ 1A,  Xã Duyên Thái, Huyện Thường Tín, Hà Nội;3;Thường Tín;1.953;6.27
_;10.0;0;1;4;6;21.0;218.0; Đường Trần Thủ Độ, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội;3;Thanh Trì;4.342;6.27
_;10.0;0;0;4;4;12.7;130.0; Đường Trần Thủ Độ, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội;3;Thanh Trì;4.342;6.27
_;15.0;0;1;4;3;13.5;70.0; Đường Trương Định, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
Tây Bắc;7.0;0;1;2;2;7.1;76.0; Đường 30/4, Phường Rạch Dừa, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
Nam;20.0;0;1;1;4;25.0;180.0; Đường Lạc Long Quân, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
Tây Bắc;11.0;0;1;2;4;9.7;180.0; Đường Hàng Điều 9, Phường 11, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
Bắc;9.0;0;1;2;5;22.0;214.0; Đường Lạc Long Quân, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
Đông Bắc;13.0;0;1;2;4;23.0;433.0; Đường Chí Linh 24, Phường Thắng Nhất, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
Đông Nam;5.0;0;1;1;6;115.0;2.131; Đường Trần Phú, Phường 5, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
Tây Nam;9.0;0;1;2;3;16.0;201.0; Đường Chí Linh 7, Phường Nguyễn An Ninh, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
Tây Bắc;10.0;0;1;2;5;16.0;210.0; Đường Tôn Đức Thắng, Phường 9, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
Tây Nam;23.0;0;1;2;4;19.0;200.0; Đường Mạc Thanh Đạm, Phường 8, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
_;15.0;0;1;4;5;28.0;250.0; Đường Vành Đai Trong, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh;7;Bình Tân;15.109;5.81
_;10.0;0;1;4;4;8.6;64.0; Đường Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh;7;Bình Tân;15.109;5.81
_;15.0;0;1;4;4;15.0;2.03; Đường Hương lộ 2, Xã Trung Lập Hạ, Huyện Củ Chi, Hồ Chí Minh;7;Củ Chi;1.063;5.81
_;10.0;0;1;5;8;12.0;75.0; Đường Nghĩa Lộ, Phường Dương Nội, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;11.0;0;1;7;10;9.0;50.0; Phường La Khê, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;8.0;0;1;5;8;6.9;50.0; Đường Ba La, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;10.0;0;1;5;8;8.3;50.0; Đường Ngô Đình Mẫn, Phường La Khê, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;15.0;0;1;3;6;26.0;178.0; Đường Tô Hiệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
Đông Nam;15.0;0;0;4;5;5.5;45.0; Đường Kiến Hưng, Phường Kiến Hưng, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;6.0;0;1;6;6;9.0;50.0; Đường Ngô Thì Nhậm, Phường Hà Cầu, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;20.0;0;0;5;8;26.5;120.0; Phố Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;20.0;0;1;5;10;19.9;120.0; Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;10.0;0;1;5;6;8.2;40.0; Đường Ngô Thì Nhậm, Phường Hà Cầu, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;20.0;0;1;5;9;12.8;106.0; Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;5.0;0;1;4;4;8.9;60.0; Đường Số 6, Phường Linh Chiểu, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;8.0;0;0;2;4;58.0;160.0; Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;8.0;0;1;4;5;29.5;240.0; Đường Đặng Thuỳ Trâm, Phường 13, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
Nam;4.0;0;1;2;3;7.29;661.0; Quốc Lộ 5, Xã An Hưng, Huyện An Dương, Hải Phòng;4;An Dương;1.878;10.34
_;20.0;0;0;4;10;52.0;362.0; Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh;7;Tân Phú;30.146;5.81
